Day of Data Escala de Tempo 1 CE Simp 4,Data Escala de Tempo 1 CE Simp 4,Período Exibido CE Simp 4,Subsistema,Selecione Tipo de CE Simp 4
"June 18, 2020",6/18/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,790.300665
"June 19, 2020",6/19/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,799.099235
"June 20, 2020",6/20/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,758.495782
"June 21, 2020",6/21/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,697.910657
"June 22, 2020",6/22/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,810.580459
"June 23, 2020",6/23/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,817.248535
"June 24, 2020",6/24/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,819.157171
"June 25, 2020",6/25/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,831.069986
"June 26, 2020",6/26/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,835.39602
"June 27, 2020",6/27/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,776.61529
"June 28, 2020",6/28/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,695.408473
"June 29, 2020",6/29/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,792.389782
"June 30, 2020",6/30/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,809.090504
"July 1, 2020",7/1/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,815.796484
"July 2, 2020",7/2/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,807.852363
"July 3, 2020",7/3/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,798.689414
"July 4, 2020",7/4/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,742.062668
"July 5, 2020",7/5/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,684.838724
"July 6, 2020",7/6/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,807.034521
"July 7, 2020",7/7/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,833.563463
"July 8, 2020",7/8/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,837.464714
"July 9, 2020",7/9/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,835.508764
"July 10, 2020",7/10/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,815.856325
"July 11, 2020",7/11/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,765.674154
"July 12, 2020",7/12/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,709.82281
"July 13, 2020",7/13/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,832.778056
"July 14, 2020",7/14/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,850.981192
"July 15, 2020",7/15/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,836.841334
"July 16, 2020",7/16/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,825.966287
"July 17, 2020",7/17/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,831.415394
"July 18, 2020",7/18/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,776.360207
"July 19, 2020",7/19/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,699.574233
"July 20, 2020",7/20/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,811.693391
"July 21, 2020",7/21/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,842.421206
"July 22, 2020",7/22/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,848.061409
"July 23, 2020",7/23/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,850.362101
"July 24, 2020",7/24/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,850.627936
"July 25, 2020",7/25/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,793.109068
"July 26, 2020",7/26/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,708.926877
